id,keyword,location,text,target,is_label_conflict,is_exact_duplicate,text_clean_preview,char_count,word_count,has_url
215,airplane%20accident,"New Mexico, USA",@mickinyman @TheAtlantic That or they might be killed in an airplane accident in the night a car wreck! Politics at it's best.,0,False,False,@mickinyman @theatlantic that or they might be killed in an airplane accident in the night a car wreck! politics at it's best.,126,22,False
242,airplane%20accident,"San Francisco, CA",Statistically I'm at more of risk of getting killed by a cop than I am of dying in an airplane accident.,0,False,False,statistically i'm at more of risk of getting killed by a cop than i am of dying in an airplane accident.,104,21,False
721,attacked,Peshawar,IK Only Troll His Pol Rivals Never Literally Abused Them Or Attacked Their Families. While All Of Them Literally Abuse IK. Loosers,0,False,False,ik only troll his pol rivals never literally abused them or attacked their families. while all of them literally abuse ik. loosers,130,22,False
1080,blew%20up,Atlanta,@mfalcon21 go look. Just blew it up w atomic bomb.,0,False,False,@mfalconnum go look. just blew it up w atomic bomb.,50,10,False
1425,body%20bag,,@Rhee1975 @deliciousvomit No I'm not I'm saying that they're lucky they can go home to their families not put in a body bag,0,False,False,@rheenum @deliciousvomit no i'm not i'm saying that they're lucky they can go home to their families not put in a body bag,123,23,False
1663,bombing,"Washington, D.C.",I think bombing Iran would be kinder... https://t.co/GVm70U2bPm,0,False,False,i think bombing iran would be kinder...,63,8,True
1666,bombing,,Oh and fuck Bill Clinton for bombing us and fuck NATO.,0,False,False,oh and fuck bill clinton for bombing us and fuck nato.,54,11,False
1878,burning,mumbai,hermancranston: #atk #LetsFootball RT SkanndTyagi: #letsFootball #atk WIRED : All these fires are burning through Û_ http://t.co/DmTab6g7j7,0,False,False,hermancranston: #atk #letsfootball rt skanndtyagi: #letsfootball #atk wired : all these fires are burning through _,140,17,True
1975,bush%20fires,Queen Creek AZ,Ted Cruz fires back at Jeb &amp; Bush: ÛÏWe lose because of Republicans like Jeb &amp; Mitt.Û [Video] -  http://t.co/BFTHaHLCr0,0,False,False,ted cruz fires back at jeb & bush: we lose because of republicans like jeb & mitt. [video] -,130,20,True
1981,bush%20fires,,Ted Cruz fires back at Jeb &amp; Bush: ÛÏWe lose because of Republicans like Jeb &amp; Mitt.Û [Video] -  http://t.co/bFtiaPF35F,0,False,False,ted cruz fires back at jeb & bush: we lose because of republicans like jeb & mitt. [video] -,130,20,True
1987,bush%20fires,London/Bristol/Guildford,On holiday to relax sunbathe and drink ... Putting out bush fires? Not so much ?? #spain https://t.co/dRno7OKM21,0,False,False,on holiday to relax sunbathe and drink ... putting out bush fires? not so much ?? #spain,112,18,True
1994,bush%20fires,,One thing you can be sure of. There will never be bush fires in Scotland as the ground is always soaking wet????,0,False,False,one thing you can be sure of. there will never be bush fires in scotland as the ground is always soaking wet????,112,22,False
1999,bush%20fires,,Ted Cruz fires back at Jeb &amp; Bush: ÛÏWe lose because of Republicans like Jeb &amp; Mitt.Û [Video] http://t.co/FgDEh56PLO,0,False,False,ted cruz fires back at jeb & bush: we lose because of republicans like jeb & mitt. [video],127,19,True
2006,bush%20fires,,Ted Cruz fires back at Jeb &amp; Bush: ÛÏWe lose because of Republicans like Jeb &amp; Mitt.Û [Video] -  http://t.co/KCofF6BmiE,0,False,False,ted cruz fires back at jeb & bush: we lose because of republicans like jeb & mitt. [video] -,130,20,True
