text,oof_prob,keyword
all that panicking made me tired ;__; i want to sleep in my bed,0.0669040010405429,panicking
Aubrey really out here body-bagging Meek.,0.07807832582805617,body bagging
@todd_calfee so @mattburgener wanted to see that info on blight u got,0.09644760989093881,blight
@leedsrouge Love what you picked! We're playing WORTH IT by FIFTH HARM/KID INK because of you! Listen &amp; Vote: http://t.co/0wrATkA2jL,0.10103565924905872,harm
You can never escape me. Bullets don't harm me. Nothing harms me. But I know pain. I know pain. Sometimes I share it. With someone like you.,0.10380616591948381,harm
I JUST SCREAMED @toddyrockstar http://t.co/JDtPirnm76,0.10818920037860855,screamed
@lucysforsale funny cause my dumb ass was the young one to get n trouble the most lol,0.11081455738986311,trouble
The little girl next to me sees the spot lights in the sky and screams ' mom! Look I see Angels in the sky!' ????,0.11142700685917796,screams
@disneyIrh so traumatised im ???? http://t.co/TATZfK63Ch,0.12341462903182594,traumatised
@itss_selenaluna like a beautiful ass tragedy lol,0.1234835008621719,tragedy
