text,oof_prob,keyword
I'm On Fire.  http://t.co/WATsmxYTVa,0.9621364140763018,fire
this storm????,0.9417931959216193,storm
she's a suicide bomb,0.9380854693110691,suicide bomb
Calgary news weather and traffic for August 5 * ~ 90 http://t.co/qBdRYXSGlC http://t.co/VZOd7qFFlv,0.9164828629496687,hailstorm
@adorableappple No reported flooding po in the area. Ten-4. #mmda,0.9095490778536983,flooding
Statistically I'm at more of risk of getting killed by a cop than I am of dying in an airplane accident.,0.9011399352542704,airplane accident
We should all have a fire safety plan. RT @Matt_Kroschel: MOCK WILDFIRE near #Vail as agencies prepare for the worst. http://t.co/SWwyLRk0fv,0.8494158602536226,wildfire
Fire waves and darkness,0.8453328741593106,fire
Trident 90225 Chevy fire Truck w/ Pumper  IMS Fire Dept. Red HO 1:87  plastic http://t.co/FAQNFUpeGn http://t.co/mQfOfKXtyh,0.8448571560816686,fire truck
@BenignoVito @LibertyBell1000 HILLARYMASS MURDERER.,0.8441884278010383,mass murderer
