word,chi2_score,p_value,association,freq_class0,freq_class1
http,266.6199672356596,6.18855944492704e-60,Disaster,1927,2382
california,133.90319699843076,5.736538248389802e-31,Disaster,6,115
suicide,127.05970856109309,1.8026762118600102e-29,Disaster,7,112
hiroshima,118.83935455410494,1.1356417751999465e-27,Disaster,1,92
killed,113.45499252617333,1.7153101218050476e-26,Disaster,4,95
mh370,95.57444206664628,1.4243341165777017e-22,Disaster,0,72
families,86.50153031355755,1.3962921972109428e-20,Disaster,7,81
wildfire,85.1672301345996,2.741682219646174e-20,Disaster,2,69
northern,84.95505961479671,3.0522419026512655e-20,Disaster,0,64
legionnaires,80.9727911953531,2.2884696222345514e-19,Disaster,0,61
bombing,79.47972905097383,4.871983952446563e-19,Disaster,3,67
bomber,76.38484332470836,2.3343606244315058e-18,Disaster,1,60
typhoon,73.73226543182454,8.946447479424931e-18,Disaster,1,58
disaster,72.86151297990091,1.3907394861849802e-17,Disaster,37,121
fires,71.16150963047463,3.2914702437425167e-17,Disaster,16,86
atomic,67.96226343145904,1.6665467836818403e-16,Disaster,2,56
homes,67.6103340373249,1.9922064334717382e-16,Disaster,3,58
train,66.8827986271919,2.881381658437891e-16,Disaster,14,79
debris,66.37114032405992,3.7353120422112677e-16,Disaster,0,50
police,64.54525032715603,9.434067858358735e-16,Disaster,34,109
news,63.47759878664856,1.6220090022636187e-15,Disaster,57,140
severe,62.38887190461632,2.819116993436836e-15,Disaster,0,47
japan,62.114189212056345,3.2410764685295353e-15,Disaster,4,56
malaysia,61.79790995672509,3.805780756811204e-15,Disaster,1,49
pm,60.613523237804955,6.9455225258098545e-15,Disaster,6,59
derailment,54.42433506572914,1.615498609656621e-13,Disaster,0,41
migrants,54.42433506572914,1.615498609656621e-13,Disaster,0,41
spill,53.84450246951437,2.1700143094894276e-13,Disaster,1,43
confirmed,53.42647959625559,2.6845382656466536e-13,Disaster,2,45
body,53.09622981422675,3.1760145942609816e-13,Kein Disaster,116,15
obama,53.06169884078126,3.232341074557379e-13,Disaster,8,57
warning,50.78706949074048,1.0294971163889082e-12,Disaster,2,43
outbreak,49.869020240117415,1.6435935586826543e-12,Disaster,1,40
wreckage,49.869020240117415,1.6435935586826543e-12,Disaster,1,40
investigators,49.114643839804344,2.414310664361265e-12,Disaster,0,37
saudi,48.54408570331998,3.229467893783016e-12,Disaster,1,39
70,46.58564190904225,8.77004963591546e-12,Disaster,3,42
mosque,46.459798226841954,9.35175551004654e-12,Disaster,0,35
storm,46.197815474640066,1.0689610096177125e-11,Disaster,32,89
earthquake,45.13729339993673,1.8369372425245885e-11,Disaster,5,45
near,44.05992328004733,3.184752127119138e-11,Disaster,7,48
suspect,43.24572992817679,4.827901851025074e-11,Disaster,1,35
love,42.40265253707673,7.42892188763824e-11,Kein Disaster,90,11
kills,41.92154582191891,9.500994010272139e-11,Disaster,1,34
hundreds,41.92154582191891,9.500994010272139e-11,Disaster,1,34
fatal,41.849774238667194,9.856215192573527e-11,Disaster,12,55
pkk,41.15010700091716,1.409755418047551e-10,Disaster,0,31
detonated,41.15010700091716,1.409755418047551e-10,Disaster,0,31
accident,40.60927826515008,1.859217438311208e-10,Disaster,21,68
crash,39.34025386392314,3.560254711222521e-10,Disaster,34,85
reunion,39.2737664639892,3.6835727636474127e-10,Disaster,1,32
affected,39.2737664639892,3.6835727636474127e-10,Disaster,1,32
anniversary,37.6164798330746,8.611385142212575e-10,Disaster,2,33
16yr,37.16783858147356,1.0838669127177854e-09,Disaster,0,28
turkey,37.16783858147356,1.0838669127177854e-09,Disaster,0,28
israeli,37.16783858147356,1.0838669127177854e-09,Disaster,0,28
bomb,37.07383455831659,1.137397573310573e-09,Disaster,29,76
officials,36.626898880902424,1.4304416877569273e-09,Disaster,1,30
like,36.14815367954453,1.8287166022210856e-09,Kein Disaster,254,94
40,36.109834719949376,1.8650320543798506e-09,Disaster,4,36
bridge,36.109834719949376,1.8650320543798506e-09,Disaster,4,36
abc,35.840415774992366,2.1415893918867715e-09,Disaster,0,27
airport,35.30386399085281,2.8207187510380908e-09,Disaster,1,29
rescuers,34.82426588558488,3.60847768163838e-09,Disaster,4,35
oil,34.69643492102274,3.853366092150555e-09,Disaster,9,44
01,34.51299296851117,4.234155047023168e-09,Disaster,0,26
latest,33.58105050862929,6.835541839721921e-09,Disaster,12,48
island,33.54089989185808,6.97810902633043e-09,Disaster,4,34
old,33.474327718525274,7.2210867511420206e-09,Disaster,25,67
conclusively,33.18557016202996,8.376987203273616e-09,Disaster,0,25
helicopter,33.18557016202996,8.376987203273616e-09,Disaster,0,25
saipan,33.18557016202996,8.376987203273616e-09,Disaster,0,25
sue,32.65873447856036,1.0984468338039066e-08,Disaster,1,27
missing,32.56655914346581,1.1517958473403812e-08,Disaster,6,37
plane,32.24804036183821,1.3569387314097831e-08,Disaster,3,31
injured,31.94973677833726,1.582138105227263e-08,Disaster,11,45
thunderstorm,31.91854618256844,1.607747545622099e-08,Disaster,8,40
projected,31.85814735554877,1.658525316976994e-08,Disaster,0,24
bestnaijamade,31.85814735554877,1.658525316976994e-08,Disaster,0,24
forest,31.698910628928466,1.8002314943434325e-08,Disaster,15,51
nuclear,31.459570876093373,2.036363775879924e-08,Disaster,31,73
declares,31.336709505784693,2.169386791234163e-08,Disaster,1,26
mp,31.336709505784693,2.169386791234163e-08,Disaster,1,26
just,31.307654295859827,2.2020972604565882e-08,Kein Disaster,234,89
charged,31.11113464524807,2.4366961263395526e-08,Disaster,5,34
officer,31.057094606028173,2.5054885870253616e-08,Disaster,2,28
attack,30.78756331562818,2.8787693598532612e-08,Disaster,30,71
manslaughter,30.530724549067557,3.286206779056625e-08,Disaster,0,23
trench,30.530724549067557,3.286206779056625e-08,Disaster,0,23
signs,30.530724549067557,3.286206779056625e-08,Disaster,0,23
new,30.505790909866693,3.32871406824386e-08,Kein Disaster,170,56
swallowed,30.015099750986366,4.286950388350039e-08,Disaster,1,25
soudelor,30.015099750986366,4.286950388350039e-08,Disaster,1,25
bags,29.733002542951205,4.9583471809056446e-08,Kein Disaster,43,1
razed,29.6607073601486,5.146755205703172e-08,Disaster,3,29
buildings,29.45977465750851,5.708937993069093e-08,Disaster,35,76
feared,29.203301742586362,6.516806015419298e-08,Disaster,0,22
costlier,29.203301742586362,6.516806015419298e-08,Disaster,0,22
refugio,29.203301742586362,6.516806015419298e-08,Disaster,0,22
aircraft,28.69395504032267,8.476792186171123e-08,Disaster,1,24
evacuation,27.984208757191084,1.223094856199288e-07,Disaster,10,40
drought,27.607273265494726,1.4861887594485677e-07,Disaster,6,33
report,27.607273265494726,1.4861887594485677e-07,Disaster,6,33
let,27.59404085635218,1.4963907190492971e-07,Kein Disaster,76,14
bag,27.47977030830875,1.5874632342859342e-07,Kein Disaster,40,1
reuters,27.373333504310438,1.6772828931041017e-07,Disaster,1,23
searching,27.373333504310438,1.6772828931041017e-07,Disaster,1,23
crews,27.373333504310438,1.6772828931041017e-07,Disaster,1,23
airplane,27.346855663912244,1.7004071717347313e-07,Disaster,5,31
